T001,Tablet,Samsung,Samsung Galaxy Tab S9 Ultra,SM-X916
T002,Tablet,Apple,Ipad 11,A16
T003,Tablet,Xiaomi,Redmi Pad 2,25040RP0AG
T004,Tablet,Huawei,Honor Pad X9a,ELN2-W29
T005,Tablet,Xiaomi,Poco Pad ,2405CPCFBG
